depa,prov,dis,segu,inde,analf15,pob
Amazonas,Bagua,Aramango,5057,54.61,13.81,11442
Amazonas,Bagua,Copallin,2593,35.05,13.46,6126
Amazonas,Bagua,El Parco,524,20.91,12.17,1274
Amazonas,Bagua,Imaza,11294,47.94,17.29,21409
Amazonas,Bagua,La Peca,14310,36.51,7.62,31506
Amazonas,Bongará,Chisquilla,206,42.95,3.29,346
Amazonas,Bongará,Churuja,155,47.62,8.47,272
Amazonas,Bongará,Corosha,325,59.11,13.51,712
Amazonas,Bongará,Cuispes,238,51.08,9.37,782
Amazonas,Bongará,Florida,1286,59.85,11.12,6199
Amazonas,Bongará,Jazán,3079,46.29,5.57,8332
Amazonas,Bongará,Jumbilla,888,45.06,5.38,1569
Amazonas,Bongará,Recta,153,39.06,4.68,231
Amazonas,Bongará,San Carlos,119,61.15,10.57,367
Amazonas,Bongará,Shipasbamba,514,45.32,10.24,1350
Amazonas,Bongará,Valera,419,55.06,9.43,1262
Amazonas,Bongará,Yambrasbamba,1724,56.49,11.81,6043
Amazonas,Chachapoyas,Asunción,189,47.59,13.11,289
Amazonas,Chachapoyas,Balsas,751,55.82,13.47,1401
Amazonas,Chachapoyas,Chachapoyas,12170,26.71,4.38,23939
Amazonas,Chachapoyas,Cheto,268,49.58,7.16,582
Amazonas,Chachapoyas,Chiliquín,456,58.2,13.46,851
Amazonas,Chachapoyas,Chuquibamba,1168,55.34,7.4,2074
Amazonas,Chachapoyas,Granada,139,47.75,14.71,426
Amazonas,Chachapoyas,Huancas,176,50.39,10.2,809
Amazonas,Chachapoyas,La Jalca,2376,58.21,13.36,5344
Amazonas,Chachapoyas,Leimebamba,1816,43.86,11.26,3918
Amazonas,Chachapoyas,Levanto,511,63.22,15.58,945
Amazonas,Chachapoyas,Magdalena,399,34.08,9.93,880
Amazonas,Chachapoyas,Mariscal Castilla,469,59.01,10.37,1132
Amazonas,Chachapoyas,Molinopampa,1215,57.68,11.48,2501
Amazonas,Chachapoyas,Montevideo,286,43.85,6.2,691
Amazonas,Chachapoyas,Olleros,239,60.8,16.21,355
Amazonas,Chachapoyas,Quinjalca,327,57.91,15.51,934
Amazonas,Chachapoyas,San Francisco de Daguas,124,50.42,9.17,302
Amazonas,Chachapoyas,San Isidro de Maino,237,56.43,9.3,686
Amazonas,Chachapoyas,Soloco,606,60.63,11.68,1413
Amazonas,Chachapoyas,Sonche,140,53.06,15.65,228
Amazonas,Condorcanqui,El Cenepa,4616,57.78,21.9,8513
Amazonas,Condorcanqui,Nieva,11047,54.9,17.55,22192
Amazonas,Condorcanqui,Río Santiago,7281,48.58,19.6,12606
Amazonas,Luya,Camporredondo,1868,31.49,14.24,6076
Amazonas,Luya,Cocabamba,929,45.78,15.65,2240
Amazonas,Luya,Colcamar,827,65.07,15.53,2395
Amazonas,Luya,Conila,936,71.64,17.65,2033
Amazonas,Luya,Inguilpata,355,66.67,11.15,694
Amazonas,Luya,Lámud,1398,36.25,13.51,2319
Amazonas,Luya,Longuita,396,60,12.88,946
Amazonas,Luya,Lonya Chico,620,66.91,14.58,1051
Amazonas,Luya,Luya,2337,60.62,13.91,4153
Amazonas,Luya,Luya Viejo,357,65.1,14.67,413
Amazonas,Luya,María,357,48.24,7.71,855
Amazonas,Luya,Ocalli,1476,52.51,11.32,3622
Amazonas,Luya,Ocumal,2037,52.82,14.24,3781
Amazonas,Luya,Pisuquía,2385,52.58,16.73,5432
Amazonas,Luya,Providencia,590,57.11,13.83,1448
Amazonas,Luya,San Cristóbal,455,64.81,17.04,707
Amazonas,Luya,San Francisco del Yeso,269,42.76,25.52,793
Amazonas,Luya,San Jerónimo,672,57.04,14.71,947
Amazonas,Luya,San Juan de Lopecancha,206,58.85,10.71,553
Amazonas,Luya,Santa Catalina,675,56.87,12.25,1698
Amazonas,Luya,Santo Tomás,1616,65.36,12.16,3670
Amazonas,Luya,Tingo,586,43.8,12,1212
Amazonas,Luya,Trita,888,63.7,15.85,1290
Amazonas,Rodríguez de Mendoza,Chirimoto,530,62.56,8.83,1842
Amazonas,Rodríguez de Mendoza,Cochamal,237,56.58,3.56,545
Amazonas,Rodríguez de Mendoza,Huambo,1104,38.89,11.24,3168
Amazonas,Rodríguez de Mendoza,Limabamba,832,48.91,6.49,2629
Amazonas,Rodríguez de Mendoza,Longar,934,45.93,5.17,1747
Amazonas,Rodríguez de Mendoza,Mariscal Benavides,774,42.98,8.35,1496
Amazonas,Rodríguez de Mendoza,Milpuc,206,65.33,6.58,671
Amazonas,Rodríguez de Mendoza,Omia,1583,48.26,9.16,7053
Amazonas,Rodríguez de Mendoza,San Nicolás,2103,44.36,4.72,4837
Amazonas,Rodríguez de Mendoza,Santa Rosa,145,50.99,10.78,540
Amazonas,Rodríguez de Mendoza,Totora,238,54.35,2.55,490
Amazonas,Rodríguez de Mendoza,Vista Alegre,260,48.33,12.5,1371
Amazonas,Utcubamba,Bagua Grande,19867,41.95,11.46,47336
