pais,TasaFertil1mMuje,EmployPerPop,Tuberculosis100m,MaterMort100m,UndernourishPerPop
MAR,32.2602,22.4290008544922,101,121,3.5
AFG,73.1264,16.2019996643066,189,396,23
AGO,157.3554,69.6569976806641,370,477,14
ALB,20.6922,39.5050010681152,16,29,4.9
ARE,28.0758,39.4199981689453,0.79,6,3.8
ARG,63.2644,43.5460014343262,25,52,3.6
ARM,24.785,41.3199996948242,47,25,4.4
AUS,13.6616,55.4720001220703,6.1,6,2.5
AUT,7.522,51.6430015563965,7.5,4,2.5
AZE,51.7,58.8489990234375,71,25,2.5
BEL,5.3384,44.2939987182617,9.5,7,2.5
BEN,90.2036,66.4680023193359,60,405,10.3
BFA,108.7606,52.7560005187988,52,371,20.2
BGD,85.3076,30.0639991760254,221,176,15.1
BGR,41.0864,44.5410003662109,28,11,3.4
BHS,29.1548,60.992000579834,18,80,10
BIH,10.8342,24.7269992828369,39,11,2.5
BLR,18.7992,58.3380012512207,55,4,2.5
BLZ,65.9792,44.3409996032715,25,28,6.2
BOL,69.9186,52.4379997253418,117,206,20.2
BRA,63.7578,48.0050010681152,42,44,2.5
BRB,41.1162,55.3250007629395,0,27,4.4
BRN,11.6092,54.6860008239746,58,23,2.5
BWA,33.4544,51.5429992675781,356,129,26
CAF,107.7732,58.9360008239746,391,882,58.6
CAN,10.1748,56.9490013122559,5.2,7,2.5
CHE,3.1946,59.3300018310547,7.3,5,2.5
CHL,47.526,46.5299987792969,17,22,3.7
CHN,6.5968,59.9360008239746,66,27,9.6
CIV,134.061,46.3849983215332,159,645,15.4
CMR,111.8636,67.3550033569336,212,596,7.9
COG,116.3622,60.2970008850098,379,442,28.2
COL,51.537,52.5209999084473,31,64,7.1
CPV,75.7158,43.1590003967285,139,42,13.7
CRI,55.701,43.0470008850098,11,25,5.6
CUB,46.4086,40.8429985046387,7,39,2.5
CYP,4.8136,49.3289985656738,6.2,7,4.7
CZE,10.4158,48.2960014343262,5.5,4,2.5
DEU,7.1462,52.3050003051758,8,6,2.5
DJI,19.9894,45.8720016479492,362,229,12.8
DNK,4.2482,53.9900016784668,6.5,6,2.5
DOM,97.2322,49.1030006408691,60,92,13.5
DZA,10.7052,12.6899995803833,74,140,4.6
EAP,22.6248548083786,58.4099847313099,155,63,10.2016749778364
EAS,21.0546044594162,57.4182964496667,144,59,9.42072944445367
ECA,26.5603317909763,46.1014959242498,61,25,3.6655669135011
ECS,17.8127684651024,46.4032985051488,33,16,3.03310688810215
ECU,75.2802,49.8400001525879,52,64,12.1
EGY,51.8828,16.4249992370605,15,33,4.5
ESP,8.758,39.9900016784668,10,5,2.5
EST,14.0274,52.5559997558594,18,9,2.5
ETH,67.2518,71.4929962158203,192,353,28.8
FIN,7.0306,50.6110000610352,5.6,3,2.5
FJI,43.5248,37.4900016784668,51,30,4.6
FRA,8.9614,45.7210006713867,8.1,8,2.5
GAB,101.667,30.1860008239746,465,291,7
GBR,14.5964,53.6559982299805,10,9,2.5
GEO,48.201,52.8540000915527,99,36,7
GHA,68.677,72.7620010375977,160,319,7.6
GIN,139.5256,60.7799987792969,177,679,17.5
GMB,84.687,44.5690002441406,174,706,10.9
GNB,89.9284,60.9140014648438,373,549,28.3
GRC,7.7494,32.3250007629395,4.5,3,2.5
GTM,73.9864,37.5639991760254,26,88,15.6
GUY,87.5268,34.0099983215332,93,229,8.5
HIC,16.511953976057,48.5867702201861,12,13,2.7188159611099
HND,73.5778,47.0730018615723,41,129,14.8
HRV,9.8238,39.0480003356934,13,8,2.5
HTI,38.976,53.0839996337891,194,359,46.8
HUN,19.9328,43.9269981384277,10,17,2.5
IDN,48.6144,46.7190017700195,395,126,7.9
IND,25.9968,26.1259994506836,217,174,14.5
IRL,10.6084,48.5900001525879,7.2,8,2.5
IRN,26.4394,12.210000038147,16,25,5.5
IRQ,79.462,16.181999206543,43,50,27.8
ISL,7.827,70.1350021362305,2.4,3,2.5
ISR,10.1468,55.8079986572266,4,5,2.5
ITA,6.2124,34.0499992370605,6.7,4,2.5
JAM,55.9558,46.5209999084473,4.5,89,8.4
JOR,24.131,10.7469997406006,5.8,58,4.2
JPN,4.2384,48.3460006713867,16,5,2.5
KAZ,29.3336,61.6150016784668,79,12,2.5
KEN,83.0942,52.7849998474121,380,510,19.1
KGZ,39.508,45.3279991149902,144,76,6.4
KHM,49.6326,80.6900024414063,368,161,15.3
KOR,1.6922,50.0660018920898,79,11,2.5
KWT,9.7994,46.6150016784668,22,4,2.5
LAC,64.0554050916951,47.722718224551,42,70,6.9048474997614
LAO,63.9566,76.3440017700195,182,197,17.1
LBN,12.5314,20.4340000152588,13,15,5.4
LBR,130.0688,52.7190017700195,308,725,42.8
LCA,41.9872,44.1720008850098,9.1,48,17
LCN,63.4914273717179,47.3251780731634,41,67,6.57560747228407
LIC,96.6042457861003,60.583222217443,231,479,27.8954372786664
LKA,15.5636,32.2480010986328,65,30,22.1
LMC,47.7745221776424,35.0731913407256,232,257,13.3617676194489
LMY,49.1883537975631,45.2768604534527,167,238,12.3510942156193
LSO,89.9072,41.6440010070801,788,487,14.5
LTU,12.101,50.0950012207031,55,10,2.5
LUX,5.6798,49.6220016479492,6.1,10,2.5
LVA,14.1934,49.5750007629395,40,18,2.5
MDA,23.4344,40.0530014038086,102,23,8.5
MDG,113.7668,81.9489974975586,236,353,42.3
MDV,7.1988,41.818000793457,46,68,8.5
MEA,38.6131427259285,16.5276334811081,33,81,8.37135664190591
MEX,62.5464,41.9360008239746,21,38,4.2
MIC,40.8756887417611,43.716810342943,159,180,10.7417131195932
MKD,16.9288,32.625,17,8,3.9
MLI,173.0382,55.2750015258789,57,587,4
MLT,16.9792,39.4480018615723,8.6,9,2.5
MMR,29.402,51.2949981689453,365,178,16.9
MNA,42.0515303032394,14.5285161986645,37,90,9.11447228426456
MNE,12.4102,35.3790016174316,15,7,2.5
MNG,24.8272,51.4109992980957,197,44,19.6
MOZ,142.6462,60.3440017700195,551,489,26.6
MRT,81.7854,26.9850006103516,107,602,5.3
MUS,27.2926,40.8019981384277,22,53,5.2
MWI,141.779,67.3300018310547,193,634,25.9
MYS,13.308,48.6040000915527,88,40,2.5
NAC,21.3467514210055,53.3563526989744,3.5,13,2.50188257476081
NAM,76.1964,45.4480018615723,495,265,28.8
NER,196.034,67.3929977416992,95,553,11.3
NGA,111.218,48.4109992980957,219,814,7.9
NIC,88.3512,46.7470016479492,51,150,17
NLD,4.175,53.9720001220703,5.8,7,2.5
NOR,5.7708,58.875,6.3,5,2.5
NPL,63.6844,80.1330032348633,156,258,8.1
NZL,21.1848,59.1559982299805,7.3,11,2.5
OMN,8.573,26.6240005493164,9,17,6.2
PAK,38.4744,22.431999206543,270,178,19.9
PAN,83.8412,48.7919998168945,52,94,9.3
PER,49.3358,66.0510025024414,119,68,7.9
PHL,59.211,47.798999786377,550,114,13.8
POL,13.3568,45.2190017700195,19,3,2.5
PRK,0.2928,71.7529983520508,513,82,40.8
PRT,10.4192,46.9249992370605,23,10,2.5
PRY,57.5128,53.1619987487793,41,132,12
ROU,34.3786,42.5470008850098,82,31,2.5
RUS,23.4998,53.7410011291504,68,25,2.5
RWA,27.8358,85.0490036010742,56,290,41.1
SAS,35.0669315273037,27.0012397516975,220,182,15.2913023636715
SAU,8.823,17.3139991760254,12,12,4.4
SDN,70.399,18.1280002593994,88,311,25.6
SEN,77.0508,42.8349990844727,139,315,11.3
SLB,49.2814,61.242000579834,89,114,13.9
SLE,118.3336,55.015998840332,307,1360,30.9
SLV,71.0814,45.5069999694824,49,54,12.3
SRB,19.7254,35.7099990844727,21,17,5.6
SSA,103.541382087985,57.8689844970137,264,547,20.1472882089076
SSF,103.538992488647,57.8689844970137,264,547,20.1472882089076
STP,97.6724,32.3440017700195,97,156,13.5
SUR,47.3324,37.3880004882813,33,155,7.9
SVK,22.2734,45.2970008850098,6.5,6,3.1
SVN,4.4396,46.8129997253418,7.2,9,2.5
SWE,5.3086,56.2249984741211,9.2,4,2.5
SWZ,80.0864,30.7569999694824,485,389,19.6
TCD,167.942,60.4860000610352,152,856,32.5
TGO,90.1494,74.9029998779297,52,368,11.5
THA,51.7358,60.5909996032715,172,20,9.5
TJK,37.4176,40.6419982910156,86,32,30.1
TKM,25.2328,51.4220008850098,68,42,5.5
TLS,47.2688,24.1100006103516,498,215,26.9
TTO,31.976,49.5349998474121,17,63,4.8
TUN,7.6278,19.1180000305176,38,62,5
TUR,28.006,27.5400009155273,18,16,2.5
TZA,118.1232,77.4079971313477,306,398,32.3
UGA,114.5604,64.7639999389648,202,343,39
UKR,25.4852,43.5149993896484,91,24,2.5
UMC,29.8521096573607,52.1961789503994,76,41,7.76483951237214
URY,56.0292,50.7879981994629,30,15,2.5
USA,22.441,52.9410018920898,3.3,14,2.5
UZB,16.9212,49.5099983215332,79,36,6.3
VCT,51.2152,46.9469985961914,7.4,45,6
VEN,86.3302,47.1080017089844,29,95,13
VNM,30.7942,71.9140014648438,137,54,10.7
VUT,43.0728,57.8889999389648,63,78,6.9
WLD,45.146149702049,45.9077911193074,142,216,10.7
WSM,25.632,21.4109992980957,11,51,3.2
YEM,63.28,4.49900007247925,48,385,28.8
ZAF,46.068,34.6349983215332,807,138,4.6
ZMB,89.1276,64.2259979248047,391,224,45.9
ZWE,107.5554,73.6039962768555,242,443,44.7
Grand Total,11581.8940815024,10956.8163814634,25233.29,39869,2457.75655603904
